summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":346360.0318294383,"y":484443.4420243838,"spatialReference":{"wkid":27700}},
DATES,Potential evapotranspiration with interception correction (mm/day)
2012-04-22,1.6099975
2012-04-23,1.5603037
2012-04-24,1.6951841
2012-04-25,1.2375097
2012-04-26,0.8663759
2012-04-27,1.6105437
2012-04-28,1.9563371
2012-04-29,1.5888226
2012-04-30,1.9556769
2012-05-01,1.3655022
2012-05-02,1.7555705
2012-05-03,1.7479061
2012-05-04,1.4615777
2012-05-05,2.3321223
2012-05-06,2.3020632
2012-05-07,1.5436954
2012-05-08,2.4277837
2012-05-09,2.0166473
2012-05-10,1.2354572
2012-05-11,2.0078294
2012-05-12,3.0183098
2012-05-13,2.7359653
2012-05-14,2.9136465
2012-05-15,2.5180314
2012-05-16,2.715424
2012-05-17,1.41556
2012-05-18,1.6374004
2012-05-19,1.3793283
2012-05-20,2.4433637
2012-05-21,2.877493
2012-05-22,4.2528205
2012-05-23,3.736584
2012-05-24,3.7717328
2012-05-25,4.9895587
2012-05-26,5.6281366
2012-05-27,4.8695397
2012-05-28,4.462995
2012-05-29,2.6966329
2012-05-30,2.3352175
2012-05-31,1.4871068
2012-06-01,2.0800986
2012-06-02,1.785902
2012-06-03,1.6275271
2012-06-04,2.7573311
2012-06-05,1.9318144
2012-06-06,1.9823651
2012-06-07,1.5140105
2012-06-08,0.96927094
2012-06-09,2.2062042
2012-06-10,2.2202456
2012-06-11,1.7420218
2012-06-12,2.1653092
2012-06-13,2.318754
2012-06-14,2.6821475
2012-06-15,1.7126241
2012-06-16,0.92167956
2012-06-17,2.0851889
2012-06-18,3.386056
2012-06-19,3.3115392
2012-06-20,3.3933487
2012-06-21,1.5671625
2012-06-22,1.6630132
2012-06-23,2.2104244
2012-06-24,2.5279188
2012-06-25,2.6396613
2012-06-26,2.0574975
2012-06-27,1.9600129
2012-06-28,2.094297
2012-06-29,2.573712
2012-06-30,2.708101
